Catogory,Body
PROMOTION,"Dear Customer, Restock your contact lens box on Lenskart & continue your hassle-free, crystal clear viewing experience!

App lskt.me/x8

Call us +918068864556"
,"FREE Xstream TV Box is YOURS! 
Combo of 2 SIMs, 250+ TV Channels & OTT benefits at just Rs 799!
Upgrade to Airtel Black today & enjoy our premium service"" i.airtel.in/GetFiber
"
PERSONAL,9786836803
PROMOTION,"Hi Balaji, Air Coolers from Symphony, Bajaj & more from Rs 3990 + Extra Rs 500 + 5% NeuCoins! Shop now on Tata Neu https://tneu.in/4l9h73ID T&C apply"
TRANSACTION,"Jio Number 9363626200 booked by you for TN is available till 06-06-2023 06:47 PM
Transaction ID : CN000000IF8H
Booking Code : 4BDC8FCDC9
To activate, visit nearest Jio Store/Retailer or book home delivery by giving a missed call on 7000070000."
PROMOTION,"Dear sir, Get BANK OD upto 5 CRORES Under Govt CGTMSE Scheme in 7 Days. Min 3 Cr Turnover in FY 22-23. Mr.Vignesh 9087123888 BANK STAFF MSME FINANCE T&C"
PROMOTION,"BALAJI, Get Rs.1000 OFF on a purchase of Rs.7500 or more at Titan World. Use PIN 1000141946077539 & CODE 196116 TC mm7.in/MjdiP7XC2oAE"
PROMOTION,"Dear Patron,Finest range of ethnicwear @Avantra by Trends Redeem your MCoupon to get Rs500 OFF on shopping of Rs1999 or more. Valid Till 31May.T&C"
PROMOTION,"28.05.23 Shop open 10Am to 2pm 
Gold :5620
Silver :77.00
Coin :5745
S.M.S Thanga Maligai
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
TRANSACTION,"Jio Number 9363626200 booked by you for TN is available till 06-06-2023 06:47 PM
Transaction ID : CN000000IF8H
Booking Code : 4BDC8FCDC9
To activate, visit nearest Jio Store/Retailer or book home delivery by giving a missed call on 7000070000."
PROMOTION,"Dear Customer, want to sell your car at a fantastic price? Book a free inspection now.Call +919355875185 or click http://m.cars24.sh/yTTjrW4lSYr -CARS24"
PROMOTION,"Hi Balaji, Limited Period Offer - realme Earbuds at just Rs 1499 + Extra coupon, only for you! Shop now on Tata Neu https://tneu.in/ml861qQV T&C apply"
PROMOTION,"Greatest tennis stars in action! Watch Roland Garros 2023 LIVE on JioTV
https://bit.ly/SMSJioTV4"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
TRANSACTION,"Dear LG customer RNP230530065887 is given to DINESHKUMARS 7824838337. After completion of your work to your satisfaction please share the Happiness Code : 54398 with our Service Engineer to close your Service request. You can also visit us for further support on https://lg-chatbot.com/web/il?locale=en_IN

"
PROMOTION,"Dear 90033046XX,
Call: 9999844169
to sell your car hassle-free for a wonderful price.
Book a home inspection today.
Visit: 1pr.in/D9hI3Y31
-CARS24"
PROMOTION,"Hit the play button and enjoy Saregama Music. Streaming now on JioTV
https://bit.ly/SMSJioTV4"
PROMOTION,"Ghar Baithe karo apna insurance plan secure, PayBima ke Right Advisor In home consultation ke saath. Contact us today. T&C Mahindra Insurance Brokers Ltd. https://m1.mahdr1.com/JzxdJM4"
PROMOTION,Enjoy 58% off on KFC Wednesdays! Get 12 Chicken Strips and 4 dips today! Order now! bit.ly/43zzoKp TnC
PROMOTION,"Today is most auspicious PANDAVA NIRJALA Ekadashi, please support ISKCON for free food Annadaan to poor,
www.iskconmeal.com
Save Tax-80G
7386108768
Hare Krishna"
PROMOTION,"PayDay Week is here - Get Great Offers on Daily Essentials, Health & Wellness Products at Apollo Pharmacy or Apollo 247 App. Offers: https://bit.ly/3cz5aCx"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,"Mr/Ms BALAJI,Thangamayil's Kalyana parisu, Buy 10 grams of Gold Jewelry & get 30 grams of Silver free* Hurry! Offer valid till 3-July bit.ly/Kgft23"
PROMOTION,"Dear Customer, Redeem your RelianceOne points on AJIO Big Bold Sale with up-to 50-90% OFF on Top brands. Go Shop now: https://bit.ly/3N1stUJ"
PROMOTION,"Hi Balaji, This is a TEST SMS. If you have received this as FLASH, kindly save this SMS and fill out this short form. Link: bit.ly/CheggFlashtest Chegg"
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 3500 towards group code and membership no RAB - 7576. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 3500 towards group code and membership no RAB - 7576. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 25500 towards group code and membership no RAB - 7574. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 25500 towards group code and membership no RAB - 7574. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 1500 towards group code and membership no RAB - 7577. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 1500 towards group code and membership no RAB - 7577. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
,"Dear Customer, +919486177119 is now available to take calls."
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear Parent, Our Android/iOS application for parent is available for downloaded from Playstore: http://android.timetoschool.com/ and Apple Store: NA. Your User ID and Password will be Mobile No & child date of birth(DDMMYYYY) . It is mandatory to change your password on your first login for security purposes - TimeToSchool"
PROMOTION,"Finest Wedding Jewellery only from Sree Kumaran Thangamaligai with the lowest price in market @TNagar, Velachery, Chrompet & Tiruvalur. bit.ly/3NlrXBM -SKTMCH"
PROMOTION,"Finest Wedding Jewellery only from Sree Kumaran Thangamaligai with the lowest price in market @TNagar, Velachery, Chrompet & Tiruvalur. bit.ly/3NlrXBM -SKTMCH"
PROMOTION,"Dear Customer, It's Pay Day. Time to treat yourself! Get 2 frames @ 1500 with Premium Anti-glare Lenses from Lenskart. TnC

Store: lskt.me/m8

App: lskt.me/q8"
PROMOTION,We miss you @ MAX FASHION! Here's an exclusive offer for you GET Flat 10% OFF on full price Max merchandise Usecode: 86IPZ6 Valid for 09/06/2023. Shop today! TnC
PROMOTION,"BALAJI, your favourite Velachery Fastrack Store is here with a whole new look Drop by and enjoy 10% OFF at the store surl.li/hhfxz Ring us: 04448555462 T&C"
PROMOTION,"Dear BALAJI, 
Only pants your kid needs for a comfy day! Shop for MamyPoko pants at up to 30% OFF! Get 2-hr* delivery https://trtn.in/X1YYeH Apollo24|7"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,"Salary week special from MAX FASHION!!
Grab FLAT 50% on select merchandise across Max stores.
Hurry, limited period offer!
TnC"
TRANSACTION,PDS Bill 429610623000096 R.Rice-8.0kg/Sugar-2.0kg/B.Rice-10.0kg/P.Oil-1.0pkt/T.Dhall-1.0kg/Wheat NPHH-2.0kg issued on 03.06.2023 for Rs.105.0/-. To complain forward to 9773904050 - TNEPDS
PROMOTION,"Battle of Manchester! Tune in to watch the FA Cup Final on JioTV
https://bit.ly/JioTV_FAFinal"
PROMOTION,"GRT Jewellers Dazzling Diamond Festival, Get upto 25% off on Diamonds & Uncut Diamonds, enjoy exciting offers on platinum,T&C. bitly.ws/GMTj"
PROMOTION,"Hi Balaji, Samsung Galaxy A34 5G smartphone starting Rs 27999 + Additional 10% off, only for you! Shop now on Tata Neu https://tneu.in/Je6B0LzW T&C apply"
PROMOTION,"04.06.23 Shop open 10Am to 2pm 
Gold : 5630
Silver :77.80
Coin :5755
S.M.S Thanga Maligai
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,Just one last step to complete your OlaMoney Wallet KYC - Get your original document verified in the ride: https://hello.ola.app/RyaE8MIZRW
PROMOTION,"Dear Balaji T , plan to achieve all your life's goals and ambitions. Build a better financial future with Savings and Investment Plans from HDFC Life and also avail a life cover. Click mm7.in/MDQnlK5JXLsE to know more. T&C Apply - HDFC Life"
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,Apply and get a higher Loan amount! Download the True Balance app and get Cash Loan upto 1 lakh in just a few simple clicks. T&C Apply http://qz5.in/hH4j3a B2B
PROMOTION,"Dear Customer, all you need is 5 minutes! Open a digital savings account with Kotak811 and level up your banking instantly: https://kotk.in/efNkIx -KBank"
PROMOTION,"Hi Balaji, Samsung Galaxy A54 5G smartphone starting Rs 35999 + Additional 10% off, only for you! Shop now on Tata Neu https://tneu.in/ovi5VRQz T&C apply"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
TRANSACTION,"Dear Investor, Your SIP Purchase of Rs.1,999.90 in Folio 23164298 in Value Discovery Fund - Growth for 6.870 units has been processed for NAV of 291.1 on 05-Jun-2023 - IPRUMF"
TRANSACTION,"Dear Customer, Balance in your A/C XX6203 as on 06-06-2023 is Rs. 167.60. Bank will NEVER send any link for KYC/PAN verification-IPPB"
PROMOTION,"Dear Balaji T , protect the financial future of your loved ones from life's uncertainties. Build a better financial future with Protection Plans from HDFC Life and enjoy peace of mind. Click Click mm7.in/MDZsVvZXKNUE to know more. T&C apply - HDFC Life"
PROMOTION,"Dear, 
want to sell your car from the comfort of your home? 
Book a convenient home inspection now! 

Call 9319977102 
or 
click http://gmg.im/epof7j 
-CARS24"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
TRANSACTION,"Your claim no OC-24-9988-4014-00000396 has been registered to our BAGIC claims team for primary check. For more information, please get in touch with our branch office."
TRANSACTION,"Dear Customer, Your loss claim intimations has been raised successfully, please note your claim reference number OC-24-9988-4014-00000396. Please upload KYC documents, Cancelled CHQ, Loss Photos and other available documents for initial scrutiny. Our Local claim team will contact you very soon for further actions, click to upload Documents https://bit.ly/37kLJV7 Caringly Yours BAGIC (Commercial Claims Dept.)"
TRANSACTION,"Your SIP Purchase in Folio 19920082/96 under HDFC Large and Mid Cap Fund-Reg Gr for Rs. 1,999.90 has been processed at the NAV of 211.978 for 9.434 units and 05-Jun-2023. Your smart statement https://cams.co.in/5vIBbc6zaJj. Enter your PAN as the password. Sincerely, HDFCMF"
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear Member, Grab your favourite Himalaya products & enjoy add. of 10% bonus points (min bill of INR 600/-). Hurry! Offer valid till 30-Jun-23. T&C* -Himalaya"
PROMOTION,Flat 58% off on the Spicy-licious KFC Wednesday Strips Bucket loaded with 12 Peri Peri Strips and 4 dips! Order now and binge on! bit.ly/3WPuqaa TnC
PROMOTION,"Dear, 
want to sell your car from the comfort of your home? 
Book a convenient home inspection now! 

Call 9319977102 
or 
click http://gmg.im/gBbOjS 
-CARS24"
PROMOTION,IPPB staff never ask for your account details or OTP for KYC updation. Don't click on any anonymous link otherwise you may become victim of Cyber Fraud. - IPPB
PROMOTION,"Dear sir, Get BANK OD upto 5 CRORES Under Govt CGTMSE Scheme in 7 Days. Min 3 Cr Turnover in FY 22-23. Mr.Vignesh 9087123888 BANK STAFF MSME FINANCE T&C"
TRANSACTION,"Order for Cons No 7100006044 is registered with Ref No.2-002958090467.Refil expected delivery: 2 days.Pay by https://payit.cc/I3139700287
INDANE"
PROMOTION,"Dear Customer,TRENDS SHOPPING FESTIVAL is Back!!! Shop for Rs3999 & Get apparel worth Rs3999 FREE. Offer valid on ALL Products till 11th June'23.HURRY. T&C"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/8ZK7zoN6"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/4rhE6DYs"
TRANSACTION,"Invoice generated for Rs. 1118.5.Share DAC 8165 on delivery. Download eInvoice https://cx.indianoil.in/webcenter/portal/LPG/pages_h?cId=8874271401
INDANE"
PROMOTION,"Congrats BALAJI, you are 1 step away to get a loan of Rs. 5 lakhs from L&T partnered with FinBud. Apply Now http://f49.bz/hKkeX6"
PROMOTION,"HareKrishna
ISKCON has distributed more than 4 Crore meals to needy during last 3 years
Please support daily Annadaan, donate at www.iskconmeal.com
SaveTax-80G"
PROMOTION,"Hi Balaji, yeh SBI Card offer ke saath :
- 5L tak credit limit
- Pre-qualified offer
- 0 income docs
Check karein. TnC laagu bnkbzr.co/7nOMwNGdVXa"
PROMOTION,"Dear Customer, Modern styles with Indian twist, Starting at Rs.2000 from Indian Accent collection. Shop now on Lenskart! TnC

Store lskt.me/m8

App lskt.me/i8"
PROMOTION,"Dear Customer, Big savings are calling you! Enjoy banking with no monthly minimum balance and upto 4% interest p.a with Kotak811. https://kotk.in/nwQLut -KBank"
PROMOTION,We miss you @ MAX FASHION! Here's an exclusive offer for you GET Flat 10% OFF on full price Max merchandise Usecode: K2CGJR Valid for 16/06/2023. Shop today! TnC
PROMOTION,"Dear LG Customer, If you are satisfied with Complaint Resolution for RNP230530065887 Share Happiness Code : 54398  with our Service Engineer.
"
TRANSACTION,"Dear Mr/Ms  BALAJI THILAGAR , Amount Rs  359.8  has been Invoiced against receipt no. WCHE2/40891 dt. 09-Jun-2023 . You can check your Receipt on below link or can check your email as given http://www.lgdealernet.com/TCREReceipt/jsp/tcr_receipt_dup.jsp?group_id=45994b61-abe6-4dcd-8682-3ccaf00f9e34"
PROMOTION,"Dear LG Customer Your Service Request RNP230530065887 is closed. For further support click here : https://bit.ly/lge-support
Or call us on 08069379999"
PROMOTION,"Dear Balaji T , protect the financial future of your loved ones from life's uncertainties. Build a better financial future with Protection Plans from HDFC Life and enjoy peace of mind. Click Click mm7.in/MTADp2Mse5IE to know more. T&C apply - HDFC Life"
PROMOTION,Man City vs Inter Milan. Watch the UEFA Champions League Final on JioTV https://bit.ly/JioTV_UCL
PROMOTION,"You're One Step Away from completing Personal Loan application! To know more, Download the Bajaj Finserv app.Click https://bfl.onelink.me/857331112/q.T&C."
PROMOTION,"FREE Xstream TV Box is YOURS! 
Combo of 2 SIMs, 250+ TV Channels & OTT benefits at just Rs 799!
Upgrade to Airtel Black today & enjoy our premium service"" i.airtel.in/GetFiber
"
PROMOTION,Dear LG Customer your feedback is our Command to serve better plz take this Survey for the claim no. RNP230530065887 http://ils.lge.com/survey.do?q=NqYxEVk4P
PROMOTION,"S.M.S Thanga Maligai
11.6.23 shop open 10Am to 2pm 
Gold :5620
Silver :79.80
Coin :5745
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
PROMOTION,"Dear BALAJI,  
Huggies brings to you not just comfy diapers! Get upto 40% OFF, exclusively on Apollo 24|7 with 2-hr* delivery https://ttrt.in/5w231l"
PROMOTION,"Dear Customer,TRENDS SALE IS NOW ON!!! Shop for Rs3999 & Get apparel worth Rs3999 FREE. Offer valid on ALL Products till 11th June'23. HURRY! Visit Now. T&C"
TRANSACTION,"Dear SBI Customer, Rs.500 withdrawn at HDF ATM P3ENCE89 from A/cX0522 on 11Jun23 Transaction Number 316210010145. Available Balance Rs.6013. If not withdrawn by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Call 18001234 if cash not received."
PROMOTION,Up to 33% off on the NEW KFC All In One Bucket! Enjoy all your KFC favourites in one Finger Lickin Good bucket! bit.ly/3N2uCyi TnC
TRANSACTION,"Your order is delivered with invoice no. 5-103201446040. eInvoice & give feedback https://cx.indianoil.in/webcenter/portal/LPG/pages_rf?cId=8874271401
INDANE"
TRANSACTION,"HDFC SECURITIES LTD on 27-05-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/hzKIqgS4"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/wVl2JsPL"
PROMOTION,"Hurry up BALAJI, your Pre-approved personal loan of Rs 6.5 Lakhs from Finance Buddha is expiring on 15-06-23. Apply Now http://f49.bz/hNlSmO FinBud
"
PROMOTION,"Dear Balaji Thilagar, your payment was unsuccessful with TheCollective. Please choose another mode of payment to place your order by clicking here https://spk2.me/p/84230329"
PROMOTION,"Now Personal Loan application is super easy. Chat with our SMART ASSISTANT and apply now in a few clicks. Tap 
http://m.BajFin.in/M1kIW_ww
 Bajaj Finance Ltd"
PROMOTION,"Hello,Your resume has passed.You can Earn 21800RS by completing simple tasks each day.Click: https://wa.me/9779847343925 RTS"
PROMOTION,"Dear Investor, Please download your account statement for the recent transactions under folio 23164298 from link http://sms.iciciprumf.com/yYwKVvW1 The link is valid for 6 days. To know the steps to open the statement, click here. http://sms.iciciprumf.com/KdKAq82G - IPRUMF"
PROMOTION,"Dear User,

You’ve earned Fastrack Flat 33% off on Sunglasses and Spectacles on Specials. Click on https://t.jio/winnings-FTJU33 to claim your coupon! T&C

Team JioCoupon"
PROMOTION,"Dear Customer,
Sell your car at a great price!

Instant payment & free RC transfer!

Call: 9319977102
Or
Click: http://gmg.im/joqACn
-CARS24"
PROMOTION,Flat 58% off on 12 Peri Peri Strips and 4 dips! Grab the KFC Wednesday Strips Bucket today! Order now and binge on! bit.ly/43UgLkA TnC
PROMOTION,Arun Excello's Flat at Guduvanchery. 1BHK 16.99 lakhs 2BHK 31.99 lakhs (all inclusive price). Bank loan arranged. Call: 8448795096 RERA: 0376/2020
PROMOTION,"Dear Member, the movie that you have been waiting for is finally coming to the big screen. Watch Hollywood action-adventure THE FLASH starring Ezra Miller & Ben Affleck @ur favorite PVR cinemas. Book@ pvrcinemas.net/VeyN"
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear Patron,
Buzzing with technology-The new Grand i10 NIOS
Fast USB charger (Type C)
Cruise control & more
Benefits upto Rs. 38 000
MsdCall 8884450230
T&C"
PROMOTION,"Hello,Your resume has passed.You can Earn 16800RS by completing simple tasks each day.Click: https://wa.me/919111815301 RTS"
TRANSACTION,5243 is your One Time Password for HIT RACQUET.
PROMOTION,"Dear Customer,SALE @TRENDS just got bigger. Get Upto 50% off + Shop for Rs3999 and Get gift @Rs249 + coupons worth Rs2000. Offer valid till 18 June. T&C Apply"
PROMOTION,"Unleash the epic encounter between England & Australia. Watch the Ashes 2023 from June 16 LIVE on JioTV.
https://bit.ly/JioTV_Ashes"
PROMOTION,"Dear Customer, Get the Air Switch collection as seen on the Kapil Sharma show, 2 for Rs.2700. Shop now on Lenskart! TnC

Store: lskt.me/m8

App: lskt.me/x6"
PROMOTION,"GRT jewellers Dazzling Diamond Festival, Get Upto 25% off on Diamonds & Uncut Diamonds, enjoy exciting offers on platinum, T&C. bitly.ws/GMTj"
PROMOTION,"Hey, we at CaratLane are counting down to your birthday and we have some gifts! Get Extra 5% Off on all Diamond and Solitaire Jewellery (Use BDAYCT95VU), an Extra 3% Off on all Gold Jewellery (Use BDAYC3DIQ8) and Flat 10% Off on Shaya (Use BDAYESVR67). Call us on  91-44-42935000 to know more. Valid till 31/07/23. TCA*"
PROMOTION,"Dear BALAJI, 
It's lucky draw time! Win stroller, swing & more for your baby! Buy Chicco products to participate. Tap https://trtt.in/8Yk7Df Apollo 24|7"
PROMOTION,"Gift your loved ones exquisite handcrafted sarees from Taneira, A TATA Product. Explore Kanjeevarams, Banarasis, Tussars, Soft Silks, Cottons and more, now at flat 20% off*. Additional 5% off* for encircle members till 19th June. Visit the nearest store now https://tanera.im/JtqIiMAX . *TnC apply."
PROMOTION,Hello Lipstick Lover! Get LIT Velvet Matte Lipstick + LIT Liquid Matte Lipstick combo at just Rs.1 with 229 Points earned via HDFC Times Points Debit Card. *T&C https://bit.ly/3X7Hic1
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/doTkVa1G"
PROMOTION,"Dear Customer,SALE @TRENDS just got bigger. Get Upto 50% off + Shop for Rs3999 and Get Extra 10% OFF. To avail offer use code 10003999 till 18 June. T&C Apply"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/iOgDfWyu"
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"FREE Xstream TV Box is YOURS! 
Combo of 2 SIMs, 250+ TV Channels & OTT benefits at just Rs 799!
Upgrade to Airtel Black today & enjoy our premium service"" i.airtel.in/GetFiber
"
PROMOTION,"Free Blood Sugar & BP test at Apollo Pharmacy, ""(ANNA NAGAR,BALAJI NAGAR)"" PUZHUTHIVAKKAM on 18th Jun, from: 7AM-11AM, Ph.:044-22422300
*T&C"
PROMOTION,Hi Balaji! Only you get boAT bluetooth headphone for Rs 1299 + Extra 15% off on Tata Neu! Click & enjoy the experience https://tneu.in/Rjh7THtW T&C apply
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear BALAJI,  
Time to buy your baby's diaper pants? Get up to 35% OFF on Pampers only on Apollo 24|7! Tap for 2-hr* delivery https://trtt.in/J2nnmg"
PROMOTION,Louis Philippe Outlet Thoripakkam Sale BUY 4 GET 5FREE BUY 3 GET 3FREE Allen Solly BUY 5 GET 6FREE Kids:BUY 4GET 6FREE PH :9791012594 Map: bit.ly/3dh17Xb STYZON
PROMOTION,"Hope you and your family are safe. Please do not drive your car in flooded areas. Incase, your car is submerged in water, do not start the car and tow it to nearest workshop. Choose parking spaces away from trees/lamp posts as they may cause damage to your car incase of falling. Team HDFC ERGO"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/7Ofrnkyr"
PROMOTION,"Sri JAGANNATH RATHYATRA. 
Most Auspicious Day.
Today ANNAPRASAD will be served to Thousands of devotees & Needy.
DONATE for ANNADAN at www.iskconmeal.in
ISKCON"
PROMOTION,Just one last step to complete your OlaMoney Wallet KYC - Get your original document verified in the ride: https://hello.ola.app/RyaE8MIZRW
TRANSACTION,"Dear Customer, Balance in your A/C XX6203 as on 21-06-2023 is Rs. 167.60. Visit www.indiapost4yoga.in to send IDY Digital Post Card-IPPB"
PROMOTION,"Mr/Ms BALAJI, Thangamayil's Kalyana Parisu, Buy 10 grams of Gold Jewelry & get 30 grams of Silver free* Hurry! valid till 3-July bit.ly/Kgft23"
PROMOTION,"Now Personal Loan application is super easy. Chat with our SMART ASSISTANT and apply now in a few clicks. Tap 
http://m.BajFin.in/RBwEITqQ
 Bajaj Finance Ltd"
PERSONAL,"Dear Customer, You have a missed call from +918778345108 The last missed call was at 08:48 PM on 21-Jun-2023 Thankyou, Team Jio."
PROMOTION,"Dear Patron,Its TIME TO SHOP @Avantra by Trends Discover exquisite range of sarees,ethnicwear&more.Exciting offers in store bit.ly/3pONwh8 .T&C"
PROMOTION,"Watch the Women's Kabaddi League 2023 on JioTV
https://bit.ly/WKL23English"
PROMOTION,We miss you @ MAX FASHION! Here's an exclusive offer for you GET Flat 10% OFF on full price Max merchandise Usecode: CIL3PB Valid for 29/06/2023. Shop today! TnC
PROMOTION,"Max Fashion SALE ALERT!
Upto 50% OFF+10% EXTRA ONLY for YOU!
Shop for 2999 & use Code: D39SDKQ
EXTRA 10% OFF valid on ALL MAX garments!
ONLY till 25th Jun
TnC"
PROMOTION,"Dear Customer,SALE @TRENDS just got bigger. Get Upto 50% off + Shop for Rs3999 and Get gift @Rs249 + coupons worth Rs2000. Offer valid till 23June. T&C Apply"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/zS6YUKUr"
PROMOTION,"Dear Customer, Health Insurance now at affordable prices. Protect your family with Niva Bupa Health Insurance Plans. Visit https://eej.at/rQL1HPQI"
PROMOTION,"Namaste Balaji, ZAROORI SOOCHNA: aapka pre-qualified SBI Credit Card aa gaya hai. Check karein turant. TnC laagu bnkbzr.co/tquTqKqlxY3"
PROMOTION,"Dear Customer, Lenskart's EYECONIC SALE is LIVE. Avail BUY1GET1 with Lenskart Gold membership on cool Eyewear. TnC

Store: lskt.me/m8

App: lskt.me/e0"
TRANSACTION,"HDFC SECURITIES LTD on 03-06-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE"
PROMOTION,"Max Fashion SALE ALERT!
Upto 50% OFF +10% EXTRA ONLY for YOU!
Shop for 2999 & use Code D39SDKQ
EXTRA 10% OFF valid on ALL MAX garments!
ONLY till 25th June
TnC"
PROMOTION,"Dear customer, World Digital Premiere of Salman Khan's 'Kisi Ka Bhai Kisi Ka Jaan' on your ZEE5. Enjoy with Rs.400 OFF & RENEW NOW. https://bit.ly/3CLltW8"
PROMOTION,"FREE Wings, Strips, Popcorn and more only on KFC Bucket It! Play now on the KFC app for guaranteed offers! bit.ly/46krzug TnC"
PROMOTION,"FREE Xstream TV Box is YOURS! 
Combo of 2 SIMs, 250+ TV Channels & OTT benefits at just Rs 799!
Upgrade to Airtel Black today & enjoy our premium service"" i.airtel.in/GetFiber
"
PERSONAL,I'll call you later.
PROMOTION,"25.06.23 shop open 10Am to 2pm 
Gold :5520
Silver :74.50
Coin :5645
S.M.S Thanga Maligai
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
,"Gift your loved ones exquisite handcrafted sarees from Taneira, A TATA Product, now at flat 20% off*.Extra 5% off* for encircle members. Shop Now at https://bit.ly/3XhcfKZ .*TnC Apply"
PERSONAL,"Dear Customer, You have a missed call from +919095216030 The last missed call was at 08:50 PM on 24-Jun-2023 Thankyou, Team Jio."
